alpha,precision,recall,f1,35
0,14.2,100,24.8686514886,45.6890364256
5,14.5,92.123,25.0561980061,45.6890364256
10,20,73.23,31.4190711144,45.6890364256
15,22,49.23,30.4102204127,45.6890364256
20,30,42.23,35.0796068116,45.6890364256
25,32,40,35.5555555556,45.6890364256
30,50,38.23,43.3299331293,45.6890364256
31,55.3077404089,36,43.6124833624,45.6890364256
32,55.8503904417,35,44.1553953256,45.6890364256
33,56.0797332842,35,43.100492155,45.6890364256
34,59.7973486483,35,43.0325870028,45.6890364256
35,65.7775768535,35,45.6890364256,45.6890364256
36,66.8306385148,32,44.9891749922,45.6890364256
37,68.2476316728,33,44.4883857132,45.6890364256
38,73.1987620825,32,43.2776811849,45.6890364256
39,75.7280969741,30,42.5579303116,45.6890364256
40,77,20,31.7525773196,45.6890364256
45,80,14,23.829787234,45.6890364256
50,90,4,7.6595744681,45.6890364256
55,97,3,5.82,45.6890364256
60,100,0,0,45.6890364256
65,100,0,0,45.6890364256
70,100,0,0,45.6890364256
75,100,0,0,45.6890364256
80,100,0,0,45.6890364256
85,100,0,0,45.6890364256
90,100,0,0,45.6890364256
95,100,0,0,45.6890364256
100,100,0,0,45.6890364256
